0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
110640,111395,112068,112658,113424,119145,122738,168747,185573,204399,435882,1144676,1151631,1184535,1190311,1193230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21121,110634,111347,112065,112650,113418,117363,119821,121351,346990,389851,666669,758194,881513,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110631,111354,112084,112669,113435,113937,120736,123866,135521,136080,208372,221848,224322,431157,483586,724722,763553,987788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110639,111363,112078,112665,113438,116923,117451,120198,121360,124080,164422,171762,174043,178709,185217,188230,191106,204417,205486,209300,214605,228193,232229,339364,668010,1071023,-1,-1,-1
110625,111354,112063,112650,113418,122484,393757,920138,936354,940305,1053790,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110685,111336,112657,113432,119751,120593,121566,123718,159745,162750,164478,166689,217068,434934,437698,938304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110608,111416,112076,112657,113432,120205,122116,130212,170172,206338,209051,213407,220048,380081,583516,688388,690001,1229739,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110632,111403,111989,112670,113437,117930,121264,122326,167781,523398,1112480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110656,111351,112074,112651,113420,114011,115844,117109,124018,167047,215161,223920,431094,964944,1208041,1215970,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110693,111414,111978,112668,113438,116751,121041,122042,122651,195378,196730,210928,224338,427423,451851,452995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110635,111415,112669,113436,122602,123260,158289,162757,174879,196092,214293,239421,464816,498242,667081,875726,904394,1117758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110629,111320,112660,115826,118359,122008,122524,133763,151261,165423,177355,210485,220819,426169,773546,822828,1234005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110624,111393,112647,118812,119513,120617,127235,129371,161437,166011,169732,180368,192514,199057,334219,414798,587487,682772,1106267,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110642,111325,111969,112658,113433,116099,121116,121959,125834,155209,160169,181645,197088,202908,206809,207375,215324,302675,358075,646752,997992,1008483,1087174,1144879,-1,-1,-1,-1,-1
110596,111329,112051,112638,114556,119990,121159,128216,160341,291868,326296,1152241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110601,111463,112037,112624,113395,114684,118871,121217,125720,128342,210639,215717,223354,223945,269247,434155,463130,766844,886029,986904,1160934,-1,-1,-1,-1,-1,-1,-1,-1
110641,111350,111981,112661,113440,114016,115587,118464,122929,123675,127283,208769,384636,406669,412205,537363,964797,1078716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36614,110679,111412,112001,112677,113444,113946,123417,126115,127595,179261,184983,191735,193284,196867,198959,204148,205081,450740,490374,496558,569160,949032,-1,-1,-1,-1,-1,-1
110635,111401,112061,112655,113421,118432,122865,123410,125275,127776,156945,160331,180673,308537,436533,476986,1032666,1056055,1130142,1214077,-1,-1,-1,-1,-1,-1,-1,-1,-1
110669,111390,111974,112654,113428,113930,119416,122232,124294,125952,133494,165668,229310,426166,490966,1232130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110617,111395,112074,112653,113435,114011,114684,115904,119575,120807,122944,125976,129474,130759,146054,175261,181385,185288,189815,402480,413726,915823,-1,-1,-1,-1,-1,-1,-1
110617,111407,112660,113441,117172,120566,121583,123309,125360,126919,157037,488288,785637,1092348,1171110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110607,111394,112046,112727,120916,124658,126929,128840,178610,185821,231151,409145,495177,782314,1185953,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110620,111412,112091,112672,122239,122941,126113,132337,224731,236174,248630,460491,526576,757101,772986,837858,1232742,1241165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110605,111397,112062,112660,113423,122656,124161,125234,128993,130701,174234,191874,201320,245080,306765,438458,533071,537987,834123,949726,1111478,-1,-1,-1,-1,-1,-1,-1,-1
110615,111400,112075,112659,113445,119987,125683,126775,128330,165172,168790,176856,395770,452862,459590,525531,526303,596671,719243,1036717,1047971,1088434,1164686,1190807,1214378,-1,-1,-1,-1
26561,110634,111357,112071,112647,122693,123284,125386,129130,131807,147915,168606,180282,195223,215477,224582,229276,420907,472633,513454,564967,951570,1057261,-1,-1,-1,-1,-1,-1
110644,111352,112085,112668,113440,124349,126036,128862,131088,203112,216462,218851,348032,401792,436974,664467,815882,946736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
81931,110608,111349,112065,112656,113425,119912,128014,129368,172038,188122,454115,527223,541877,594979,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110649,111399,112059,112647,115834,121344,121947,124274,131539,139608,151180,206166,212553,377720,419388,439495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110603,111361,112065,112656,113424,119477,121426,128124,133805,134453,157983,183029,192244,214024,226641,329514,377818,393892,832444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110605,111406,112074,112660,113434,114600,123941,124747,126159,154377,160263,170842,184616,192726,200794,400584,677518,720575,749565,1244513,-1,-1,-1,-1,-1,-1,-1,-1,-1
110600,111323,112642,114734,121653,122991,126322,127502,137177,159920,161714,180163,181015,201371,224711,381311,389049,633360,777315,801515,990989,-1,-1,-1,-1,-1,-1,-1,-1
110606,111358,112067,112656,113423,118212,121403,125971,127448,177030,180206,318729,330720,366455,477926,1007840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41606,110619,111395,112075,112662,113428,114009,116654,117541,125350,144772,159077,182065,183886,194843,222489,397461,442333,502564,691366,836083,-1,-1,-1,-1,-1,-1,-1,-1
