0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
111624,119872,129791,134941,141988,150491,156861,164822,170113,178127,192603,199461,205229,210254,223157,516060,1239112,-1,-1,-1,-1,-1
111036,116529,126162,135297,143949,150333,155574,160581,166999,180622,190231,197462,203648,596012,1145001,1225428,-1,-1,-1,-1,-1,-1
111618,120367,128620,133958,141491,147771,153848,160725,167227,173743,181776,192713,204398,992532,-1,-1,-1,-1,-1,-1,-1,-1
111617,119292,128750,133756,140240,150312,159171,168141,174802,185226,203822,210907,215978,537530,1161093,-1,-1,-1,-1,-1,-1,-1
111653,116879,123336,128541,136216,148316,154599,160937,165949,190350,197204,202609,209131,510204,537534,840069,-1,-1,-1,-1,-1,-1
113767,119663,127927,138760,143997,150129,158998,165154,171632,187252,193653,199374,205440,215621,569657,-1,-1,-1,-1,-1,-1,-1
111626,118808,128100,134673,142830,150147,157372,164208,169921,181058,197396,202440,209074,214911,226698,456018,-1,-1,-1,-1,-1,-1
111650,116894,124666,133863,138886,144673,152889,157900,166037,173113,193050,198930,204350,213142,229712,654286,1062609,-1,-1,-1,-1,-1
110990,116345,123337,129893,139928,146445,151548,157811,166897,175657,185693,191296,204681,425603,562666,822680,915946,-1,-1,-1,-1,-1
111614,117564,123679,132514,137527,144768,150972,157447,170696,178317,194353,201353,207676,214000,541761,726992,-1,-1,-1,-1,-1,-1
111626,116833,125062,130863,138606,143674,150534,157575,172409,178626,186215,205440,213796,227102,246709,-1,-1,-1,-1,-1,-1,-1
111634,116878,126514,132705,140382,153092,160017,169804,181182,202574,209904,216293,225096,1142558,-1,-1,-1,-1,-1,-1,-1,-1
111632,116879,123001,129371,134935,140064,145646,157143,174650,192289,201537,213420,538127,-1,-1,-1,-1,-1,-1,-1,-1,-1
111627,120584,128661,135177,142187,148841,155736,165536,170922,177252,197567,213260,221684,526437,596813,-1,-1,-1,-1,-1,-1,-1
111630,116885,123107,129489,134830,142411,152156,159649,164717,180702,195599,207029,215856,225486,513568,918576,951688,-1,-1,-1,-1,-1
111668,116889,124733,131481,139473,146134,152123,157635,162976,181566,186880,203540,219202,-1,-1,-1,-1,-1,-1,-1,-1,-1
111630,120245,129454,136311,141988,148534,156262,164753,172469,182400,188556,197579,212201,595162,-1,-1,-1,-1,-1,-1,-1,-1
111609,120340,125811,131930,137928,151026,170076,185561,191393,198993,206556,212902,695224,-1,-1,-1,-1,-1,-1,-1,-1,-1
111636,119867,128512,134212,144085,151010,156875,175361,183450,192577,203393,214413,227016,-1,-1,-1,-1,-1,-1,-1,-1,-1
111648,116831,125133,130207,136742,142217,148504,154533,160691,165903,171250,176865,185004,193147,201125,677623,-1,-1,-1,-1,-1,-1
111618,116841,122036,127115,134220,141357,151367,156588,162085,167585,175095,181375,186435,192415,198731,204528,212735,604322,-1,-1,-1,-1
111627,118546,126375,136011,144086,151230,158651,166990,173271,180621,1007993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111652,117953,126169,131893,137448,145101,153905,162197,168776,182457,195243,210527,229931,595765,950761,1167604,-1,-1,-1,-1,-1,-1
111634,117969,124055,130275,136703,146879,152957,158414,166369,175551,189463,206837,216163,697494,1020034,-1,-1,-1,-1,-1,-1,-1
111638,119360,124560,129572,137949,143681,151585,158159,165392,176933,186751,203705,209827,214831,282271,453399,477089,801312,-1,-1,-1,-1
111631,118229,123722,133531,140215,148344,153756,159606,167574,179564,194226,199417,205849,212271,227009,480868,985056,-1,-1,-1,-1,-1
111637,116849,122093,127648,133280,142267,149910,159851,170631,176223,189506,198949,204955,210260,219430,965106,-1,-1,-1,-1,-1,-1
111637,118845,125930,136782,144700,149705,156169,179240,199312,209594,216324,222400,254519,1025336,1044979,-1,-1,-1,-1,-1,-1,-1
111630,117859,125231,130457,138072,144899,154042,161686,166691,172001,179538,189564,576619,839364,859838,1209737,-1,-1,-1,-1,-1,-1
111639,119440,127969,132987,138257,148559,155135,166131,172260,180811,187385,195599,201096,210345,481483,982895,-1,-1,-1,-1,-1,-1
111650,117289,122290,127965,133470,139745,147438,152701,161744,170682,182395,187791,200470,206637,449902,596992,726379,-1,-1,-1,-1,-1
111620,116928,122902,129738,140539,147683,159004,168580,174534,180076,185220,192196,202058,208605,961836,1215164,-1,-1,-1,-1,-1,-1
111642,121201,126531,134619,141488,150776,156572,164202,169509,185605,190863,197509,206309,218884,231115,490242,579880,881786,1077507,1141492,-1,-1
111635,117100,126877,134422,140540,147603,154957,165626,174162,180300,187927,195767,205282,232390,582207,1196758,-1,-1,-1,-1,-1,-1
111629,116861,124079,133155,144623,155804,164467,174110,190935,215150,517668,841152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111643,117394,122684,128175,134640,144090,151096,157106,165084,173599,183058,226277,968692,991254,1032063,1043076,-1,-1,-1,-1,-1,-1
111604,116988,122255,128650,134146,142128,157541,166916,172644,178538,186832,194557,202658,208034,214854,220063,669165,713971,851262,-1,-1,-1
111637,119381,128711,139643,147748,156613,173389,189667,511653,723639,1190140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111028,116179,121205,126371,133676,139579,146580,152479,159310,167326,182848,201422,211820,589790,792294,960001,-1,-1,-1,-1,-1,-1
111636,116799,125752,131129,136983,145734,150914,156157,164344,170195,176087,194828,204210,221792,761505,948546,1072415,-1,-1,-1,-1,-1
111587,117774,123170,135503,140759,146060,151630,158538,164143,169146,176773,194613,201892,1127963,-1,-1,-1,-1,-1,-1,-1,-1
111619,118896,124228,132352,143449,150350,157107,172951,179100,187318,750923,815409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115204,122797,128790,134109,139920,147920,153931,160776,167753,180566,190333,197370,205445,215844,468135,620333,736450,780950,-1,-1,-1,-1
111653,119239,125143,130682,138532,149843,159251,166001,173927,181662,188683,196003,205446,218072,237921,-1,-1,-1,-1,-1,-1,-1
111635,118648,123686,130746,141352,146379,151840,156841,162022,172302,178818,187645,196133,591975,809620,1099341,-1,-1,-1,-1,-1,-1
115555,121369,130670,139137,149592,159670,166365,172651,182025,187205,195335,206821,215541,488442,514973,640665,707412,843118,1094025,-1,-1,-1
111074,116076,122888,132440,141491,148738,154930,161252,167504,175821,181173,186973,195341,201414,243658,683260,730457,-1,-1,-1,-1,-1
111623,117561,123958,130483,135831,145877,168335,174012,193943,204463,210750,630921,811795,966055,-1,-1,-1,-1,-1,-1,-1,-1
111595,118957,124046,132861,139465,151981,157116,164650,174410,220576,227542,242537,521446,590840,838578,986634,996785,-1,-1,-1,-1,-1
111638,118335,123924,132249,138566,143805,148878,158894,164662,171688,176715,184075,194244,199897,225375,233897,583111,833898,-1,-1,-1,-1
111633,117819,125961,131157,138121,144300,153025,167490,173608,180203,186038,192354,199201,215877,232347,532613,699412,892232,-1,-1,-1,-1
111593,118357,123790,130405,136002,141128,149981,158406,170343,180124,185270,191210,200215,211349,216916,639969,746959,882355,-1,-1,-1,-1
111617,117011,122472,131179,140672,146786,152556,159098,168381,175915,181018,190623,199569,594951,809111,964756,1043200,-1,-1,-1,-1,-1
