0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
111385,111964,112468,113025,113611,114207,114964,115767,226635,449632,465711,-1,-1,-1,-1,-1,-1,-1,-1
104225,111400,111904,112457,113039,113625,114223,114883,115673,116299,298698,-1,-1,-1,-1,-1,-1,-1,-1
104176,111390,112262,113031,113631,114209,114888,115597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104238,111394,111895,112449,113031,113715,114294,115341,116138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103104,111680,112459,113043,113615,114115,114888,115694,116946,194977,737249,-1,-1,-1,-1,-1,-1,-1,-1
103727,111404,112454,113034,113622,114207,114874,115543,116142,181528,-1,-1,-1,-1,-1,-1,-1,-1,-1
105851,111385,111891,112450,113031,113610,114205,114868,115666,116906,141147,335082,436667,-1,-1,-1,-1,-1,-1
104878,111398,112262,113043,113624,114214,114877,115675,118020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103991,111402,112449,113032,113613,114208,114873,115645,116443,376600,-1,-1,-1,-1,-1,-1,-1,-1,-1
105918,108686,111293,111874,112450,113034,113627,114209,114959,116132,127665,199857,276814,352269,-1,-1,-1,-1,-1
103566,111291,111866,112451,113021,113616,114204,114904,115617,116134,118037,120454,121297,391652,-1,-1,-1,-1,-1
104349,111268,111769,112449,113031,113617,114188,114812,115658,116159,117408,124620,163501,190114,-1,-1,-1,-1,-1
102937,111392,111896,112451,113028,113615,114210,114882,115657,118523,119679,-1,-1,-1,-1,-1,-1,-1,-1
103647,111400,111900,112452,113037,113816,114405,115384,116143,117885,129881,185092,-1,-1,-1,-1,-1,-1,-1
104892,111389,111889,112453,113029,113627,114398,115374,116632,367644,-1,-1,-1,-1,-1,-1,-1,-1,-1
105082,111690,112457,113035,113621,114121,114697,116102,127156,128929,-1,-1,-1,-1,-1,-1,-1,-1,-1
102301,111392,112444,113025,113613,114196,115170,116134,116920,199545,773807,-1,-1,-1,-1,-1,-1,-1,-1
105981,111397,111897,112449,113037,113611,114206,114888,115516,116117,415646,585317,640799,-1,-1,-1,-1,-1,-1
105192,111389,111894,112453,113037,113614,114532,118410,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104590,111385,111888,112448,113023,114087,114877,115663,116794,118054,124398,-1,-1,-1,-1,-1,-1,-1,-1
105097,111393,111944,112449,113023,113615,114588,115269,116136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104634,111688,112263,113036,113630,114407,115360,116141,116781,118127,122902,482804,505473,-1,-1,-1,-1,-1,-1
103976,111400,112258,113031,113615,114399,115157,115664,118518,126809,1084143,-1,-1,-1,-1,-1,-1,-1,-1
104350,111675,112252,113019,113613,114379,115326,116134,126095,139363,-1,-1,-1,-1,-1,-1,-1,-1,-1
111271,111773,112462,113023,114085,114895,206645,221755,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103127,111392,112266,113026,113619,114274,114962,115664,118058,122314,202377,221498,340787,1014667,-1,-1,-1,-1,-1
103661,111764,112444,113028,113609,114198,114907,115656,116483,118049,124824,125610,219698,414067,-1,-1,-1,-1,-1
104087,111688,112440,113141,113898,114492,115283,116604,119554,124018,-1,-1,-1,-1,-1,-1,-1,-1,-1
104704,111676,112458,113019,113736,114390,114893,115659,117460,120099,123955,353329,-1,-1,-1,-1,-1,-1,-1
103403,111399,111902,112460,113148,113727,114227,114793,115335,116157,116839,117703,-1,-1,-1,-1,-1,-1,-1
103029,111395,111896,112457,113034,113627,114285,115156,115681,118602,122231,124236,124908,127349,432806,510008,678973,832711,-1
105090,111385,111886,112450,113130,113717,114476,115420,116139,118169,136262,360510,421606,-1,-1,-1,-1,-1,-1
104783,111392,112261,112962,113611,114414,115079,115946,116495,117012,118351,-1,-1,-1,-1,-1,-1,-1,-1
103930,111394,111950,112450,113032,113612,114400,115352,116427,116933,117602,310959,-1,-1,-1,-1,-1,-1,-1
104685,111717,112288,113058,113657,114917,116324,119453,123110,128587,413360,-1,-1,-1,-1,-1,-1,-1,-1
104595,111387,111947,112448,113017,113701,114203,114861,115507,116072,117428,122338,215834,446318,-1,-1,-1,-1,-1
104684,111389,111891,112453,113036,113764,114411,114923,115680,117989,126884,138586,153402,230753,-1,-1,-1,-1,-1
105240,111465,112452,113018,113579,114246,114875,115636,116599,117710,123697,132006,184623,204143,-1,-1,-1,-1,-1
105583,111397,111951,112451,113037,113704,114483,115256,116152,117649,118524,126746,129408,171943,-1,-1,-1,-1,-1
105008,111380,111880,112450,113329,114100,115007,115829,117265,121885,128152,246622,-1,-1,-1,-1,-1,-1,-1
111400,111902,112452,113028,113639,114578,115746,116266,117072,118128,130550,182360,611979,-1,-1,-1,-1,-1,-1
105179,111383,111884,112435,113011,113615,114499,115032,115707,116476,118012,119474,122329,123364,127943,128460,-1,-1,-1
104592,111381,111883,112448,113032,113733,114493,115203,116148,116925,118996,121211,123251,127633,405360,-1,-1,-1,-1
104554,111367,111867,112453,113036,113614,114293,114973,115839,128376,-1,-1,-1,-1,-1,-1,-1,-1,-1
103949,111387,112256,113033,113615,114115,114998,115653,116474,117605,118842,119720,132420,669230,955837,-1,-1,-1,-1
103967,111409,112438,112990,113808,114448,115238,118889,376900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
