0,1,2,3,4,5,6,7,8,9,10
111827,157279,172589,177692,196712,-1,-1,-1,-1,-1,-1
111873,167284,173460,-1,-1,-1,-1,-1,-1,-1,-1
111870,197349,-1,-1,-1,-1,-1,-1,-1,-1,-1
111877,153186,163244,172188,178856,189028,198269,-1,-1,-1,-1
111914,195681,201307,-1,-1,-1,-1,-1,-1,-1,-1
111883,144697,151520,160578,170517,189073,-1,-1,-1,-1,-1
111867,177581,184524,-1,-1,-1,-1,-1,-1,-1,-1
111871,171979,177442,197994,218833,-1,-1,-1,-1,-1,-1
111876,190870,206715,-1,-1,-1,-1,-1,-1,-1,-1
111873,191908,214157,-1,-1,-1,-1,-1,-1,-1,-1
111866,162642,177185,194804,200359,-1,-1,-1,-1,-1,-1
111875,180847,186029,193616,222947,-1,-1,-1,-1,-1,-1
111876,156571,188739,228656,-1,-1,-1,-1,-1,-1,-1
111863,165821,-1,-1,-1,-1,-1,-1,-1,-1,-1
111860,159465,179313,184977,191731,200598,211514,-1,-1,-1,-1
111859,165892,187372,201160,-1,-1,-1,-1,-1,-1,-1
111873,152219,171300,190448,205050,214783,-1,-1,-1,-1,-1
111863,144685,156490,164020,170635,179120,205962,-1,-1,-1,-1
111869,157723,186393,197497,205668,214182,-1,-1,-1,-1,-1
111862,188525,195083,-1,-1,-1,-1,-1,-1,-1,-1
111868,178650,197900,-1,-1,-1,-1,-1,-1,-1,-1
111878,173488,180485,192674,199405,208820,-1,-1,-1,-1,-1
111875,162569,-1,-1,-1,-1,-1,-1,-1,-1,-1
111877,169811,-1,-1,-1,-1,-1,-1,-1,-1,-1
111870,205037,-1,-1,-1,-1,-1,-1,-1,-1,-1
111861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111875,163302,181222,-1,-1,-1,-1,-1,-1,-1,-1
111876,154572,176328,194427,200347,210787,-1,-1,-1,-1,-1
111876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111869,165937,179807,191371,203766,-1,-1,-1,-1,-1,-1
111866,173502,188110,203073,-1,-1,-1,-1,-1,-1,-1
111879,150329,162306,189449,203205,-1,-1,-1,-1,-1,-1
111865,149182,154488,173198,179474,186234,191473,199328,-1,-1,-1
111873,149391,157723,170949,178983,189397,197480,-1,-1,-1,-1
111876,182871,188843,-1,-1,-1,-1,-1,-1,-1,-1
111869,185170,190516,195732,201588,209732,-1,-1,-1,-1,-1
111878,168950,174456,181593,199571,-1,-1,-1,-1,-1,-1
111863,170308,175930,204315,-1,-1,-1,-1,-1,-1,-1
111873,175374,-1,-1,-1,-1,-1,-1,-1,-1,-1
111875,159493,167394,179840,-1,-1,-1,-1,-1,-1,-1
111865,171255,192219,202429,-1,-1,-1,-1,-1,-1,-1
111869,167416,176471,186226,197135,208859,-1,-1,-1,-1,-1
111873,173864,180251,192165,223387,-1,-1,-1,-1,-1,-1
111871,164250,175491,183035,190722,204509,214829,-1,-1,-1,-1
111874,158920,166933,177080,185986,195589,203560,-1,-1,-1,-1
111885,181577,188125,201916,217119,-1,-1,-1,-1,-1,-1
111865,150618,192442,-1,-1,-1,-1,-1,-1,-1,-1
111876,156091,162158,178883,202417,-1,-1,-1,-1,-1,-1
111866,150472,174381,189882,209019,219947,-1,-1,-1,-1,-1
111873,140797,159210,189257,198590,209842,-1,-1,-1,-1,-1
111862,166089,185925,207104,-1,-1,-1,-1,-1,-1,-1
111879,201694,-1,-1,-1,-1,-1,-1,-1,-1,-1
111876,176604,182105,192704,203505,-1,-1,-1,-1,-1,-1
111863,160428,169756,195766,-1,-1,-1,-1,-1,-1,-1
111862,184369,-1,-1,-1,-1,-1,-1,-1,-1,-1
111870,152965,219194,-1,-1,-1,-1,-1,-1,-1,-1
111870,146514,170589,207451,-1,-1,-1,-1,-1,-1,-1
111872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111878,158941,176460,-1,-1,-1,-1,-1,-1,-1,-1
111879,181096,192520,-1,-1,-1,-1,-1,-1,-1,-1
111870,163077,181478,189861,-1,-1,-1,-1,-1,-1,-1
111867,186577,-1,-1,-1,-1,-1,-1,-1,-1,-1
111863,168766,209389,-1,-1,-1,-1,-1,-1,-1,-1
111886,149890,198650,204215,-1,-1,-1,-1,-1,-1,-1
111870,152607,159838,164942,174266,-1,-1,-1,-1,-1,-1
111890,174401,-1,-1,-1,-1,-1,-1,-1,-1,-1
111872,144953,157664,166711,176899,186558,-1,-1,-1,-1,-1
111874,178971,-1,-1,-1,-1,-1,-1,-1,-1,-1
111876,189228,206961,217437,223237,-1,-1,-1,-1,-1,-1
111869,156783,167586,173345,181897,188726,199045,-1,-1,-1,-1
111865,163087,173583,188388,197859,205601,214842,-1,-1,-1,-1
111868,169525,187746,198903,-1,-1,-1,-1,-1,-1,-1
111881,148328,156089,182946,-1,-1,-1,-1,-1,-1,-1
111860,159550,166552,175024,183643,219673,-1,-1,-1,-1,-1
111885,180595,186225,203988,-1,-1,-1,-1,-1,-1,-1
111870,150327,156586,164851,170921,181563,-1,-1,-1,-1,-1
111870,165149,-1,-1,-1,-1,-1,-1,-1,-1,-1
111883,194745,205951,212114,-1,-1,-1,-1,-1,-1,-1
111871,153426,169169,191048,-1,-1,-1,-1,-1,-1,-1
111881,158142,164343,170774,180242,217205,-1,-1,-1,-1,-1
111871,160306,172206,191959,200404,207403,-1,-1,-1,-1,-1
111879,184055,193646,232071,-1,-1,-1,-1,-1,-1,-1
111869,185796,-1,-1,-1,-1,-1,-1,-1,-1,-1
111871,176527,-1,-1,-1,-1,-1,-1,-1,-1,-1
111872,221295,-1,-1,-1,-1,-1,-1,-1,-1,-1
111876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111872,162592,177713,186357,211875,219132,-1,-1,-1,-1,-1
111870,158542,173009,179509,186417,192979,204353,-1,-1,-1,-1
111893,178016,-1,-1,-1,-1,-1,-1,-1,-1,-1
111891,148995,157200,181055,193472,202181,-1,-1,-1,-1,-1
111873,175660,190911,197183,203047,209924,-1,-1,-1,-1,-1
111874,162473,181571,204890,-1,-1,-1,-1,-1,-1,-1
111868,160659,169174,189986,213283,-1,-1,-1,-1,-1,-1
111870,176633,-1,-1,-1,-1,-1,-1,-1,-1,-1
111890,175941,186646,193853,202700,209278,-1,-1,-1,-1,-1
111926,186789,-1,-1,-1,-1,-1,-1,-1,-1,-1
111868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111871,170906,177740,184477,190873,-1,-1,-1,-1,-1,-1
111880,161046,171221,190374,-1,-1,-1,-1,-1,-1,-1
111866,181771,201341,215474,-1,-1,-1,-1,-1,-1,-1
111879,199515,-1,-1,-1,-1,-1,-1,-1,-1,-1
111867,164005,176887,194023,202714,-1,-1,-1,-1,-1,-1
111863,181532,195192,207559,-1,-1,-1,-1,-1,-1,-1
111887,171584,185480,205530,218357,-1,-1,-1,-1,-1,-1
111871,200710,210357,215619,-1,-1,-1,-1,-1,-1,-1
111874,170149,177520,187569,216229,-1,-1,-1,-1,-1,-1
111863,180127,188596,213498,-1,-1,-1,-1,-1,-1,-1
111868,171386,179731,203829,221240,-1,-1,-1,-1,-1,-1
111873,157762,165742,171320,179942,207302,-1,-1,-1,-1,-1
111864,168883,179200,189663,197133,-1,-1,-1,-1,-1,-1
111865,177835,185732,191873,-1,-1,-1,-1,-1,-1,-1
111876,177373,188670,193851,238512,-1,-1,-1,-1,-1,-1
111876,176041,-1,-1,-1,-1,-1,-1,-1,-1,-1
111869,151262,167260,183301,190248,204487,-1,-1,-1,-1,-1
111876,202911,210264,-1,-1,-1,-1,-1,-1,-1,-1
111875,160645,179918,228178,-1,-1,-1,-1,-1,-1,-1
111875,138760,161473,170843,178549,202046,208043,-1,-1,-1,-1
111882,193591,201731,-1,-1,-1,-1,-1,-1,-1,-1
111878,157073,164157,188468,-1,-1,-1,-1,-1,-1,-1
111884,173059,201814,234053,-1,-1,-1,-1,-1,-1,-1
111858,147439,158775,223880,-1,-1,-1,-1,-1,-1,-1
111865,211592,-1,-1,-1,-1,-1,-1,-1,-1,-1
111867,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111871,172423,182624,201249,-1,-1,-1,-1,-1,-1,-1
111874,164096,204898,-1,-1,-1,-1,-1,-1,-1,-1
111879,154384,159652,177201,-1,-1,-1,-1,-1,-1,-1
111867,171578,222851,-1,-1,-1,-1,-1,-1,-1,-1
111870,166769,199651,-1,-1,-1,-1,-1,-1,-1,-1
111867,158984,171128,-1,-1,-1,-1,-1,-1,-1,-1
111868,149101,154211,175028,184957,190777,201772,213117,220716,-1,-1
111875,146443,154929,196214,-1,-1,-1,-1,-1,-1,-1
111874,177460,213150,-1,-1,-1,-1,-1,-1,-1,-1
111868,143054,169638,177417,195267,-1,-1,-1,-1,-1,-1
111861,146770,194320,-1,-1,-1,-1,-1,-1,-1,-1
111868,177450,187909,199252,-1,-1,-1,-1,-1,-1,-1
111881,165957,189419,-1,-1,-1,-1,-1,-1,-1,-1
111868,138436,151073,180147,188940,194267,202949,-1,-1,-1,-1
111876,155998,181741,192230,202841,217820,238121,-1,-1,-1,-1
111886,150486,216205,-1,-1,-1,-1,-1,-1,-1,-1
111878,151232,166800,179940,185241,195344,-1,-1,-1,-1,-1
111864,163529,200664,-1,-1,-1,-1,-1,-1,-1,-1
111874,165083,177025,200705,206127,216594,-1,-1,-1,-1,-1
111867,177155,185475,-1,-1,-1,-1,-1,-1,-1,-1
111881,190971,-1,-1,-1,-1,-1,-1,-1,-1,-1
111863,156999,200941,211031,-1,-1,-1,-1,-1,-1,-1
111875,182880,209175,-1,-1,-1,-1,-1,-1,-1,-1
111873,180495,185517,-1,-1,-1,-1,-1,-1,-1,-1
111870,156862,176737,-1,-1,-1,-1,-1,-1,-1,-1
111871,179085,184235,189626,197616,-1,-1,-1,-1,-1,-1
111869,160134,166909,181132,186195,193049,-1,-1,-1,-1,-1
111870,145272,163731,182422,195311,204765,215436,-1,-1,-1,-1
111865,161163,194217,202892,-1,-1,-1,-1,-1,-1,-1
111885,183617,191725,199628,230459,-1,-1,-1,-1,-1,-1
111873,187203,217243,-1,-1,-1,-1,-1,-1,-1,-1
111864,175943,190220,205101,-1,-1,-1,-1,-1,-1,-1
111866,157575,163560,172144,179768,-1,-1,-1,-1,-1,-1
111865,186638,192786,-1,-1,-1,-1,-1,-1,-1,-1
111861,151790,-1,-1,-1,-1,-1,-1,-1,-1,-1
111865,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111879,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111869,195458,208569,-1,-1,-1,-1,-1,-1,-1,-1
111881,145787,159186,167054,214658,-1,-1,-1,-1,-1,-1
111869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111862,172892,184514,-1,-1,-1,-1,-1,-1,-1,-1
111878,191532,-1,-1,-1,-1,-1,-1,-1,-1,-1
111869,178871,184486,190166,196906,211044,-1,-1,-1,-1,-1
111873,150596,-1,-1,-1,-1,-1,-1,-1,-1,-1
111868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111864,158187,167111,172214,-1,-1,-1,-1,-1,-1,-1
111866,155195,-1,-1,-1,-1,-1,-1,-1,-1,-1
111878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111873,175314,189040,197602,-1,-1,-1,-1,-1,-1,-1
111871,163860,171724,178882,185358,193131,209156,-1,-1,-1,-1
111870,177740,183083,-1,-1,-1,-1,-1,-1,-1,-1
111871,165260,171803,179318,188540,211125,-1,-1,-1,-1,-1
111878,204370,-1,-1,-1,-1,-1,-1,-1,-1,-1
111871,196135,-1,-1,-1,-1,-1,-1,-1,-1,-1
111874,160648,172922,-1,-1,-1,-1,-1,-1,-1,-1
111862,165628,177516,183070,196707,201831,-1,-1,-1,-1,-1
111879,151906,164852,177737,185324,-1,-1,-1,-1,-1,-1
111876,181978,191413,202295,-1,-1,-1,-1,-1,-1,-1
111865,171686,181194,-1,-1,-1,-1,-1,-1,-1,-1
111873,207254,-1,-1,-1,-1,-1,-1,-1,-1,-1
111890,167276,177406,189019,-1,-1,-1,-1,-1,-1,-1
111851,146820,-1,-1,-1,-1,-1,-1,-1,-1,-1
111880,173152,198489,212373,-1,-1,-1,-1,-1,-1,-1
111873,167488,180114,188776,-1,-1,-1,-1,-1,-1,-1
111866,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111875,165912,180249,187700,-1,-1,-1,-1,-1,-1,-1
111872,171645,181834,197894,206885,-1,-1,-1,-1,-1,-1
111873,172160,179633,185252,198558,-1,-1,-1,-1,-1,-1
111880,162467,171681,201365,209226,-1,-1,-1,-1,-1,-1
111876,173062,180466,186529,199185,-1,-1,-1,-1,-1,-1
111884,146976,209120,-1,-1,-1,-1,-1,-1,-1,-1
111866,155253,161638,173262,180763,189470,201276,212035,-1,-1,-1
111866,145027,164585,169871,178853,-1,-1,-1,-1,-1,-1
111877,176453,-1,-1,-1,-1,-1,-1,-1,-1,-1
111887,164700,170932,186036,210704,-1,-1,-1,-1,-1,-1
111884,154351,166929,-1,-1,-1,-1,-1,-1,-1,-1
111870,153378,158753,166959,182746,192372,204862,219958,-1,-1,-1
111876,190526,-1,-1,-1,-1,-1,-1,-1,-1,-1
111933,170870,187422,-1,-1,-1,-1,-1,-1,-1,-1
111868,147212,155775,-1,-1,-1,-1,-1,-1,-1,-1
111870,159228,193651,-1,-1,-1,-1,-1,-1,-1,-1
111865,168157,180225,204735,-1,-1,-1,-1,-1,-1,-1
111872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111875,198417,206043,214374,-1,-1,-1,-1,-1,-1,-1
111862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111874,169153,190993,199770,-1,-1,-1,-1,-1,-1,-1
111873,166314,-1,-1,-1,-1,-1,-1,-1,-1,-1
111866,161913,193225,207463,-1,-1,-1,-1,-1,-1,-1
111871,175272,184746,190207,-1,-1,-1,-1,-1,-1,-1
111873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111882,151960,160129,228884,-1,-1,-1,-1,-1,-1,-1
111943,157778,181247,-1,-1,-1,-1,-1,-1,-1,-1
111868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111868,167365,199440,209765,232906,-1,-1,-1,-1,-1,-1
111877,178060,194340,200895,208386,219335,-1,-1,-1,-1,-1
111872,152853,175379,202237,-1,-1,-1,-1,-1,-1,-1
111882,176195,189263,196432,-1,-1,-1,-1,-1,-1,-1
111869,171926,223965,230904,-1,-1,-1,-1,-1,-1,-1
111880,194707,-1,-1,-1,-1,-1,-1,-1,-1,-1
111880,170866,182519,191137,203438,-1,-1,-1,-1,-1,-1
111872,148334,-1,-1,-1,-1,-1,-1,-1,-1,-1
111866,172564,187681,-1,-1,-1,-1,-1,-1,-1,-1
111878,166529,190625,-1,-1,-1,-1,-1,-1,-1,-1
111878,168724,180975,187829,-1,-1,-1,-1,-1,-1,-1
111887,166189,176187,213809,220724,-1,-1,-1,-1,-1,-1
111874,174482,226070,243564,-1,-1,-1,-1,-1,-1,-1
111870,155545,207393,-1,-1,-1,-1,-1,-1,-1,-1
111874,178079,188967,206421,-1,-1,-1,-1,-1,-1,-1
111877,157994,170114,175905,189023,196332,201613,-1,-1,-1,-1
111887,173908,187837,-1,-1,-1,-1,-1,-1,-1,-1
111865,172308,215125,-1,-1,-1,-1,-1,-1,-1,-1
111890,174136,195302,212996,-1,-1,-1,-1,-1,-1,-1
111874,220801,-1,-1,-1,-1,-1,-1,-1,-1,-1
111867,157545,175557,-1,-1,-1,-1,-1,-1,-1,-1
111877,196826,-1,-1,-1,-1,-1,-1,-1,-1,-1
111862,152854,167608,196654,219478,238921,-1,-1,-1,-1,-1
111869,165273,-1,-1,-1,-1,-1,-1,-1,-1,-1
111867,155444,167479,182515,195991,217249,-1,-1,-1,-1,-1
111870,160495,166844,173064,182917,191633,-1,-1,-1,-1,-1
111867,162319,175662,190984,214759,-1,-1,-1,-1,-1,-1
111876,177163,-1,-1,-1,-1,-1,-1,-1,-1,-1
111873,162015,170923,-1,-1,-1,-1,-1,-1,-1,-1
111866,146962,153823,167180,176976,187911,197780,-1,-1,-1,-1
111866,160276,173076,181661,198113,204540,-1,-1,-1,-1,-1
111864,182478,218631,-1,-1,-1,-1,-1,-1,-1,-1
111866,178150,203802,217384,224570,-1,-1,-1,-1,-1,-1
111871,163449,171708,187119,207059,-1,-1,-1,-1,-1,-1
111876,172566,184661,190471,199392,205408,-1,-1,-1,-1,-1
111880,179942,192299,-1,-1,-1,-1,-1,-1,-1,-1
111867,170688,175717,184407,195966,870030,-1,-1,-1,-1,-1
