E,vpp,vp,Number of DPs
99.54995167339499,1.0969156899999999,0.49740633,11
66.23381921256325,0.74403453,0.40432793,6
76.48308553957227,0.75457418,0.39609382,9
64.11449592531926,0.59344905,0.35913911,7
72.73709964324499,0.76649716,0.42797628,12
73.73813238812141,0.77275509,0.37718827,7
76.2194778613585,1.0923045500000002,0.65800446,6
82.4550053795082,1.09816724,0.5441761,12
86.77060648577799,1.25257337,0.70918775,8
81.16994453988644,0.86491129,0.3841708,7
151.63603061592056,2.07802678,1.03558803,7
78.48161358130581,0.84106532,0.41526282,10
75.49202912272732,0.7415313400000001,0.32448995,11
121.63776658612065,1.52311342,0.73836946,8
72.91448558053915,0.76017338,0.4090049,9
91.57464328481504,1.16390843,0.56703401,9
74.61033535882763,0.81241059,0.42000568,9
91.8302414415447,1.2766169299999999,0.56281811,5
73.08725986993339,0.62908626,0.3304185,12
79.49429456464746,1.05192447,0.52428246,7
65.31370353447531,0.50814362,0.24985595,4
87.22352310451849,0.84745499,0.40874141,7
62.256738797772705,0.42968899,0.22541709,12
63.90094629285857,0.44088737,0.2406996,11
63.30719624947209,0.52559994,0.31144711,10
78.47055458585474,0.8863858600000001,0.49154365,8
69.71079233282052,0.70549887,0.38812318,7
72.91040614358695,0.7041814,0.4131549,11
77.35993556292934,0.8716961999999999,0.45570877,7
78.79601048791041,0.8520661,0.46018815,8
86.74375562370841,1.00825077,0.53600788,7
71.53661381582421,0.65965133,0.33443677,9
67.5582510946736,0.7633352600000001,0.42013741,6
66.4512487253141,0.57823241,0.3214598,6
69.72818644117244,0.6667656,0.38548827,6
64.29011264364188,0.43107231,0.21369171,14
93.88289523099837,1.37588745,0.67664653,7
64.17178425223312,0.26744401,0.14913626,7
69.71921665235463,0.81346455,0.41658029,6
67.94171611559715,0.5497753000000001,0.24419087,11
74.05061446179974,0.82150107,0.44991198,10
82.25392681716035,1.02017376,0.49048969,12
75.42414846046597,0.79212174,0.35703117,8
72.77190758678917,0.66307673,0.3589415,11
65.65574459816963,0.21039807,0.09940222,7
66.47452998862724,0.58646652,0.25202975,5
100.7973729831541,1.27141303,0.65945369,9
64.06623938535547,0.32139392,0.1478188,3
60.350247932816906,0.45221754000000003,0.23780121,11
105.25590185140126,1.53800064,0.80977565,6
85.51096528080556,1.08736408,0.56598002,6
74.95508558644127,0.73777658,0.3416169,7
63.69587944265445,0.39227316999999995,0.20980522,11
83.57477609388422,1.1488894200000002,0.61973232,6
93.46608813606292,1.27971303,0.69344413,9
69.30052945151947,0.59641332,0.34978515,8
65.4127134345344,0.57296256,0.27969638,5
64.39087968174312,0.46473337,0.22541709,5
75.69003669978864,0.94646198,0.47382385,10
66.40665334213044,0.5171023299999999,0.27495351,7
75.91380070521829,0.92123264,0.42053264,8
82.62790527637262,1.0582482500000001,0.61742675,15
60.93693401127848,0.31968123000000004,0.14669897,9
66.02948452256575,0.40465728,0.19300762,6
71.32573452201196,0.66623861,0.35722879,8
77.07088495834367,0.75187337,0.3584145,8
71.78236600790183,0.52718089,0.24906547,6
70.77033028179446,0.42909614,0.17449734,11
66.08224253758564,0.550961,0.23747183,5
67.29327640941395,0.39385412,0.22778852,6
68.34697721739326,0.51479678,0.21942265,10
82.00801707872911,0.8574676800000001,0.35472563,6
66.71068816044642,0.5060357,0.23062105,10
61.95428561217423,0.20940998,0.11270855,5
67.8724619479982,0.7118226599999999,0.36289385,7
67.24178996455343,0.72045201,0.42125726,6
68.17434161941337,0.63396087,0.3476772,9
83.85002806155538,1.0014658300000001,0.47619525,14
62.76277333201412,0.37646367000000003,0.22983058,10
57.656823472907945,0.16817354,0.08036495,6
63.338808979035555,0.39187794,0.21184728,14
85.56355577398583,1.29815746,0.64930928,10
66.21082229362756,0.7735455600000001,0.33331692,9
60.54657165765237,0.20901472999999998,0.08589827,5
63.901471860413494,0.49450793,0.29260746,7
64.09154426401336,0.45432545,0.22673455,6
69.9790293526019,0.71920041,0.38621286,9
60.55639677123878,0.32093282,0.16665846,6
75.26958333634795,0.827232,0.46341592,7
62.57181190043754,0.30038045,0.13418311,12
80.25181041181705,1.00686741,0.50234681,8
65.75810675271586,0.53765467,0.32033995,7
64.95104587559639,0.41196917,0.17673701,7
112.7177415084127,1.6856217999999998,1.0328213,9
61.98220863264889,0.39069222000000003,0.17350924,7
61.63094819793014,0.39543508,0.21092506,8
61.243374398137185,0.34721612,0.20809253,8
75.59573579986495,0.84343674,0.47981828,11
91.58273270802884,1.29795981,0.62631965,11
77.48962937027143,0.8253216800000001,0.4459596,9
66.46501093635435,0.5338340699999999,0.28226542,7
78.06346149568617,1.07082999,0.60214424,7
74.13620763698813,0.98881822,0.50214916,9
81.83008557599416,0.9424437,0.56644112,9
62.27574769618664,0.47948888999999995,0.27554637,7
74.92018633430551,0.7856662,0.40781918,8
70.48090273394287,0.66590924,0.3168487,6
67.13716054039767,0.52112058,0.26632416,8
70.54774242053278,0.7618860599999999,0.46842226,8
66.28154666920841,0.49582536,0.20697267,5
90.54338118785924,1.22273291,0.64667434,9
66.40723869683765,0.68105998,0.34945577,6
74.91604668435258,0.9475159,0.58396333,6
68.0748003054073,0.6588608300000001,0.34833595,7
66.47061073928634,0.50241268,0.24175358,5
81.85721405635952,1.00383726,0.49253175,9
67.79208018745017,0.60095856,0.34853357,3
86.53196362282122,1.11997122,0.66366959,10
65.9003414468412,0.76076623,0.40314221,7
73.79105023486015,0.7243385,0.36414543,8
68.30220571534073,0.64568627,0.30657253,6
65.4054583010012,0.52553406,0.26415035,5
82.1786772813576,1.12886405,0.57941812,5
64.49122174095373,0.5463499,0.30604553,6
60.97595337225501,0.4340366,0.22890836,7
85.81853469795193,1.20402503,0.58567601,13
75.34451227292521,0.91747788,0.496023,10
59.425326012985735,0.36941528999999995,0.1923489,7
88.04855572603067,1.25797493,0.60161728,7
63.8659711089298,0.36552877,0.20605046,5
58.7116403828025,0.21850045,0.09340779,4
60.827376920315764,0.23687899,0.11830775,4
60.535354717819196,0.26000037,0.09736016,4
67.90926297653172,0.39951919,0.23845993,6
64.52778988349321,0.60405457,0.2915535,6
62.900305520533095,0.39839936,0.18418065,3
62.90293617712012,0.10915142,0.04611104,3
78.87749071005759,0.93131116,0.52902532,7
64.87384018334667,0.33937724,0.14564501,6
64.62413219303434,0.47876430000000003,0.24010675,6
64.90174893328654,0.60438394,0.26263529,5
63.13860878063802,0.26691703,0.11033712,5
63.487754253919974,0.33542485,0.19083382,7
92.59703599123628,1.2853781,0.71393061,9
61.65110844166348,0.13892596000000001,0.06238164,3
60.702002557647816,0.25644324,0.14182438,5
61.897800133520974,0.1171879,0.04466183,3
78.73653883969307,0.9692540199999999,0.55609912,8
61.04035911232715,0.23444167999999999,0.11343315,5
62.52704164703045,0.24037024,0.11725378,3
59.052809222103505,0.29669158,0.16415529,5
60.140533539968914,0.1427466,0.05401579,5
62.98500983705183,0.39543507,0.23668136,6
64.85675445503068,0.5075507699999999,0.25558689,7
109.43889747613984,1.49188966,0.82327962,6
66.57845153007159,0.55056576,0.2416877,6
76.34186439176378,0.9089802499999999,0.46031988,8
66.68050105955471,0.60359344,0.29306856,4
64.46092777743372,0.37336765,0.17640765,3
83.51010740607165,1.40480566,0.62941563,6
61.41991504795996,0.19590604,0.10039032,2
72.72795766119994,0.8471914899999999,0.48844761,8
77.16858822027434,0.82532167,0.46130797,6
61.068650063867516,0.29893125,0.1667902,3
70.61248986431168,0.76827574,0.40781918,5
61.00936245861203,0.22396789,0.10506729,7
67.03860435199995,0.54549357,0.24293929,4
67.01793925646496,0.48021351,0.21230839,6
65.11894728529258,0.49431032,0.23114803,4
62.82144073786404,0.26118608,0.13102122,2
65.54820390563789,0.5310674,0.3144114,5
65.64924009966178,0.53409754,0.28681064,6
63.198291609862444,0.32844233,0.14966325,4
70.94529314943429,0.83546611,0.40979537,5
62.24339403053756,0.18833064,0.086557,3
61.26611401867257,0.32086695,0.17344338,5
72.0361173657052,0.74041149,0.45551115,6
77.6200997946903,0.92953262,0.46163735,7
145.52923862489084,2.09001564,1.04500782,7
66.56478204578264,0.47283575,0.26217419,8
60.20258916856371,0.26401862,0.12390694,6
77.14386091964192,0.6954203,0.33641294,5
65.12071146693043,0.39622554,0.21599726,8
85.94855149343522,1.06048796,0.59437126,6
66.82412123507223,0.56044671,0.28233129,4
70.75041280004608,0.71748772,0.34023356,5
134.8536787679503,2.09001564,1.04500782,8
66.91330366793204,0.6373204,0.31322569,5
69.897434117214,0.7101099799999999,0.29451779,7
66.47128348890699,0.62118155,0.31599236,8
99.39304661748014,2.0013506999999997,0.95634288,6
60.154468557430036,0.1942592,0.09584508,5
66.45918784939546,0.88184065,0.43713263,3
66.48863450154172,0.44167785,0.24149008,4
65.6882392697321,0.44371992000000005,0.23351946,6
68.24200012374841,0.56683637,0.32014233,10
63.718331053947914,0.35913911,0.20045127,4
100.15743864435186,1.85787952,0.81662643,7
63.4429779983515,0.35637245,0.1427466,7
69.09269295792434,0.60879744,0.30117095,7
81.74757063533939,1.10020929,0.58323872,5
107.57247872085844,2.0831649299999997,1.03815711,5
101.29997998975017,1.82665575,0.86273748,6
97.37848135968885,1.87000018,0.85489863,10
71.65657002041266,0.79021143,0.42441916,7
113.89638119981863,2.09001564,1.04500782,7
128.11236855156494,2.0441681099999998,0.99916029,12
135.40895046217003,2.09001564,1.04500782,9
169.6967976426674,2.09001564,1.04500782,7
105.21497684307522,2.07381093,1.03618085,5
162.44114084880053,2.09001564,1.04500782,8
65.04507584904374,0.76788049,0.36236688,9
88.4481097362871,1.33320177,0.62585849,11
140.52701551011887,2.09001564,1.04500782,9
61.76510029705297,0.45972704,0.23892105,7
118.0478762539807,2.07710456,1.03855228,5
144.1683625709718,2.08935689,1.04434907,9
98.23935344636278,2.02117848,0.97834444,7
99.9287154414149,1.88021046,0.85535973,6
83.09016977924263,0.98783014,0.53976262,8
60.69856859158114,0.21685362,0.09676731,4
65.18868446346718,0.54009196,0.25789243,5
64.53771588913943,0.5497753000000001,0.24353215,5
62.97049380714923,0.47316511,0.2283155,6
62.474555966445024,0.24228056999999997,0.10625301,4
61.82389121808102,0.29906301,0.13912359,5
105.93841277047918,2.00734514,0.96312779,8
120.94160643443873,2.02302289,0.9808476,6
138.11911720619736,2.09001564,1.04500782,6
187.7081794490761,2.09001564,1.04500782,8
131.91505621625612,2.09001564,1.04500782,6
79.22552069654348,1.48833251,0.65642357,3
90.7158312577244,1.015365,0.51650947,9
59.3192647263041,0.30512332,0.1427466,9
86.7084856129558,1.6302886600000002,0.74205834,8
111.39926676756576,2.08579981,1.04171419,9
151.36579162288805,2.09001564,1.04500782,8
70.8110933010926,1.01701185,0.44885799,7
150.8366223114595,2.0626783399999997,1.02590466,8
140.67781811619236,2.09001564,1.04500782,10
64.73298204016203,0.3773859,0.17719813,6
64.50727511237842,0.41737075,0.18905525,5
68.94101459005405,0.64621324,0.38818905,9
87.04517840192264,1.020569,0.59904826,9
76.82365730318959,0.8918533399999999,0.42079616,8
144.4323445730888,2.09001564,1.04500782,8
136.6314812246961,2.08830297,1.04329515,7
76.90626878056968,1.0139817,0.54687691,6
67.82809473729769,0.58686176,0.30334476,7
63.256515289720014,0.37257717,0.20829014,7
108.66937565363897,1.69576627,0.75437653,5
164.3029394974959,2.09001564,1.04500782,10
84.9395229881982,1.25553763,0.6326434,9
115.87284749552052,1.73759556,0.80608678,8
59.970603288918824,0.25150277,0.11679267,6
65.00323315128037,0.9724817299999999,0.41374773,7
72.81989088918573,0.92564613,0.47995001,5
112.96865926341465,2.0845482300000002,1.03954041,7
62.661093993797856,0.31645346,0.17285052,7
74.07345987226103,1.01918566,0.44220483,6
95.3818095664904,1.8728326599999998,0.83744228,7
126.03855766660631,2.08527278,1.04026496,7
61.891477711216595,0.25815593000000003,0.11079823,5
61.16554384626574,0.27337258,0.13121884,4
69.67081804496118,0.6271759800000001,0.35334229,9
62.34273494507832,0.43140168999999995,0.1923489,6
72.8279949058224,0.76847335,0.39220729,5
81.26004719434664,1.23630273,0.54378086,7
83.87270869856233,0.89198506,0.42909613,6
155.58702479480553,2.09001564,1.04500782,8
94.82333665122373,1.39894294,0.64469814,6
88.8945156857754,1.652883,0.75793368,7
125.18225634691147,2.09001564,1.04500782,8
61.12932035704779,0.3943811,0.18681557,5
127.89948097462462,2.08606326,1.04500782,8
114.88369080761166,2.06913388,1.02590466,7
76.29376460859224,0.85924622,0.41723901,5
63.91131090649136,0.50524521,0.23134565,5
155.75146084064204,2.09001564,1.04500782,6
71.56840572729196,0.83283117,0.39260253,7
71.74535092528335,0.6708497099999999,0.38634461,6
62.94682415697307,0.30117094,0.15651403,7
66.02719203140359,0.66531637,0.37093034,7
71.03361836350608,0.6669631899999999,0.29642808,10
61.70923784876371,0.22719566000000002,0.09880936,6
134.14226838453962,2.09001564,1.04500782,6
122.92992683932161,2.0803982,1.03539038,6
88.9724757543503,1.80610341,0.88763744,10
69.90583417637508,0.67302352,0.2901043,9
65.06605530230756,0.43271913,0.20466712,6
95.43662490406632,1.25619638,0.71663135,6
85.17083425730519,1.27345502,0.62506801,7
58.363466926293164,0.15453783999999998,0.0629745,8
67.34385326288177,0.59634746,0.27969638,6
59.65730402046967,0.18240208000000002,0.08181415,9
77.09080472417946,0.76023925,0.39866284,9
72.45849041584245,0.7922534999999999,0.38048193,7
70.4309379062155,0.57098636,0.34906054,9
61.66978368511602,0.26777337,0.11626568,5
67.0335369887348,0.7593829,0.37000814,6
93.06232937621292,1.4065184,0.72559011,9
72.81647554907158,0.58416096,0.29043365,6
71.84408073364223,0.70042664,0.3841708,6
109.31524487243883,1.46106112,0.72618294,8
141.61496643140623,2.09001564,1.04500782,7
128.11210805984268,2.09001564,1.04500782,5
64.00639846074165,0.38930889999999996,0.21382347,5
71.80567259856417,0.89126047,0.48383653,7
81.82325453378904,0.9793984,0.46815875,5
127.8831237687416,2.0856021599999996,1.04500782,10
179.84435923453572,2.09001564,1.04500782,10
127.66454717831527,2.09001564,1.04500782,10
148.63563018282468,2.09001564,1.04500782,10
160.45873620319043,2.09001564,1.04500782,15
127.51383172165971,2.09001564,1.04500782,7
159.17295442437086,2.09001564,1.04500782,7
153.3979787322166,2.08382356,1.03881574,6
103.26450953408876,2.0826379,1.03763008,10
65.77502390827946,0.45116355,0.19504969,6
73.62169655768295,0.7543107,0.41019061,7
69.01750389567324,0.49674761,0.26263529,10
147.5491222876246,2.09001564,1.04500782,7
104.26989037839787,2.0270411299999997,0.98440474,9
98.51916486304665,1.89180409,0.85325181,7
103.20034730955958,2.0034586699999997,0.95845085,8
76.7635321197008,0.65312988,0.31750742,8
123.92887391482628,2.0834941799999998,1.03848636,8
