0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
111392,111982,112725,113238,114230,127214,128987,178074,190840,535015,-1,-1,-1,-1,-1
111444,112081,112729,116614,132918,177617,-1,-1,-1,-1,-1,-1,-1,-1,-1
106348,111390,112036,112688,113628,126534,162562,165582,185241,585253,-1,-1,-1,-1,-1
105573,111443,111972,112603,515153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111387,112074,112766,116709,129539,162202,165959,-1,-1,-1,-1,-1,-1,-1,-1
111383,111981,112766,129893,165241,166390,-1,-1,-1,-1,-1,-1,-1,-1,-1
104866,111392,111989,112642,113158,123910,180520,189344,505480,-1,-1,-1,-1,-1,-1
111389,111980,112529,113120,113994,114518,126867,154590,160785,161584,175834,183019,184420,1084124,-1
104474,111370,111971,112749,114471,116610,128259,139418,170007,194252,-1,-1,-1,-1,-1
104181,111387,140249,172100,191830,206704,-1,-1,-1,-1,-1,-1,-1,-1,-1
103358,111390,111964,112684,113718,114478,122383,127124,162054,166323,180427,202419,221556,340778,-1
103893,111379,111970,112560,113158,124756,125667,165889,168392,219717,-1,-1,-1,-1,-1
111498,112282,124074,131127,132875,148160,161373,167617,185222,-1,-1,-1,-1,-1,-1
111386,112252,124009,135073,934102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111451,111967,112651,117721,121440,166661,841802,-1,-1,-1,-1,-1,-1,-1,-1
111448,112085,112777,125753,193125,678986,-1,-1,-1,-1,-1,-1,-1,-1,-1
105316,111388,112292,112941,113454,126486,165381,174408,360500,-1,-1,-1,-1,-1,-1
111444,112294,114096,129239,131779,171581,-1,-1,-1,-1,-1,-1,-1,-1,-1
111386,111981,112723,113635,126504,200172,310999,-1,-1,-1,-1,-1,-1,-1,-1
104957,111422,112008,112592,113197,114274,119511,128640,130027,140727,175010,950679,-1,-1,-1
111383,111969,112723,113234,122360,138478,181019,216436,-1,-1,-1,-1,-1,-1,-1
111441,112341,112947,125877,129087,138677,418982,-1,-1,-1,-1,-1,-1,-1,-1
111438,112039,112570,123752,132073,184682,196467,-1,-1,-1,-1,-1,-1,-1,-1
105703,111389,112164,112865,113719,126801,138718,172005,178046,-1,-1,-1,-1,-1,-1
105278,111378,111976,112553,113229,128213,246613,-1,-1,-1,-1,-1,-1,-1,-1
104493,111451,112476,130604,147993,184487,195492,611970,-1,-1,-1,-1,-1,-1,-1
111375,111894,112408,118085,122352,127842,152570,181108,-1,-1,-1,-1,-1,-1,-1
