0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
103362,111825,112504,113318,113828,114462,115580,150742,156376,166001,172321,173407,299965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111388,111933,112439,113264,114016,115029,115787,119474,157106,166387,173240,577272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103772,111379,111946,112829,113443,114224,115133,115675,158920,170598,178810,198153,334386,527814,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103943,111534,112055,112570,113186,113762,114712,115442,115980,117659,153719,158393,166037,178956,192689,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103819,111401,112006,112532,113043,113903,114500,115041,115674,117728,140369,145000,169755,174513,192099,212996,299719,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105051,111790,112476,113118,113665,114200,115002,117236,130005,175206,195132,206162,214568,292666,473043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103287,111566,112081,112582,113717,114329,115758,126875,161147,163595,167675,181344,185911,219804,767646,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104125,111331,111851,112374,113233,114205,115267,130647,162631,167593,171186,179175,181943,185952,195209,241279,556966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105061,111401,112194,112699,113255,113761,114529,115361,132826,133826,137036,144836,145905,146483,150297,151122,162181,166518,173029,176853,178258,182500,186742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105054,111452,112040,112639,113146,113882,114687,115502,116561,125716,154417,155945,160786,162416,163660,166441,171065,174075,177357,178266,183683,196504,453094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
