E,vpp,vp,Number of DPs
64656158.20217083,20.3210674,19.9135189,1
64554256.720800035,20.2749576,19.943819,1
64233509.42014715,20.2841802,19.8832188,1
64046617.04749431,20.2196271,19.8213005,1
64261848.23575013,20.1801044,19.8647747,1
64080697.83823394,20.203819,19.8410625,1
64268341.48536055,20.2393875,19.8595047,1
66613375.11869684,20.535806,20.180954,1
66462431.29991132,20.5186796,20.180954,1
66402443.62558765,20.491013000000002,20.1519699,1
66271939.027090155,20.513410200000003,20.177002,1
66366241.18722137,20.4936492,20.1374798,1
66166028.69629365,20.7004821,20.1625099,1
65854264.272435255,20.4910137,20.1625099,1
66149387.87938075,20.5292183,20.179636,1
66506166.338010885,20.5924541,20.2152061,1
66752429.75149508,20.5265841,20.180954,1
66285514.53194703,20.4989184,20.1585579,1
66366718.050688386,20.5529315,20.183588,1
66011270.82550289,20.4646649,20.1124477,1
66257791.4026132,20.5924535,20.178318,1
67818948.89206108,20.7215613,20.3680267,1
67744130.22951294,20.848032200000002,20.4641972,1
67934768.77566491,20.7900655,20.3917389,1
67855633.92331763,20.7808451,20.4483891,1
67720704.49410255,20.726830500000002,20.3535347,1
67699780.04816538,20.747908199999998,20.3825169,1
67876476.88286261,20.8085098,20.428627,1
67698705.25881474,20.6767693,20.3680267,1
68018403.26155058,20.9244423,20.4115009,1
67880326.72761934,20.737369,20.3917389,1
64579310.94652009,20.256514,19.8687267,1
64602524.76319091,20.252561500000002,19.9477711,1
64978923.96352959,20.285498200000003,19.955677,1
64735848.22062452,20.296037000000002,19.941185,1
64572859.43651313,20.2578314,19.9174709,1
64782250.17046066,20.2367525,19.8634567,1
64650132.65863053,20.261783599999998,19.930645,1
64946272.73635662,20.3263368,19.9886112,1
64941278.20502254,20.352686000000002,19.9596291,1
65015519.77008241,20.3026232,19.9701672,1
65214376.664465025,20.400112,20.0241814,1
64923498.49440955,20.3118458,19.9807072,1
65063402.37331511,20.268371499999997,19.950407,1
64796691.80491175,20.323703300000002,19.9648991,1
64615893.764368445,20.1669303,19.8647747,1
65054355.707237385,20.442268799999997,20.0676556,1
64619918.85513501,20.2710052,19.8634567,1
65027382.20866316,20.433048399999997,20.0136433,1
65381921.450340144,20.3526852,20.0241814,1
65082693.38542618,20.3447819,19.9385509,1
65059937.279262744,20.336876399999998,19.9846592,1
64138155.65881351,20.1853745,19.8436966,1
63846382.90630053,20.1168685,19.7936344,1
64044779.41725439,20.1774699,19.8213005,1
63899390.19457223,20.1247731,19.8028564,1
64173570.4601402,20.220944,19.8555527,1
64209233.18290747,20.226214300000002,19.8305225,1
64074306.992398225,20.2354352,19.8371086,1
64130741.662681006,20.176153199999998,19.8318405,1
64209708.78096503,20.205135600000002,19.8568707,1
63968778.773174904,20.1577084,19.7804604,1
64263874.53888816,20.1498043,19.8213005,1
63845842.29799264,20.135312600000002,19.7989044,1
64163663.287502505,20.1919619,19.8489666,1
63955619.677221656,20.1432176,19.7910004,1
63820650.28699026,20.1880096,19.7910004,1
64154540.933591485,20.2433401,19.8647747,1
63806416.91622224,20.1234563,19.8173485,1
64212282.31723828,20.2104047,19.8555527,1
63608915.11802575,20.087886400000002,19.7514782,1
63627243.74535091,20.1115988,19.7844124,1
63725775.73060182,20.2104052,19.8344746,1
63345717.01338599,20.188009299999997,19.7817783,1
63900013.859190464,20.1405825,19.7817783,1
63817809.51423142,20.1300436,19.7514782,1
63617144.30259242,20.1274081,19.7409382,1
64173399.0046035,20.1642954,19.8292046,1
63693284.07124932,20.0957899,19.7224941,1
63694684.34705514,20.073393799999998,19.7356682,1
63845878.85182067,20.1036955,19.7738743,1
63839016.82819604,20.1326788,19.7923183,1
63635152.756850936,20.1102823,19.7778263,1
63602396.81997821,20.1840575,19.8226185,1
63519182.6689844,20.107646900000002,19.7277641,1
63763528.66082406,20.198549200000002,19.7962704,1
63668081.94428214,20.155073,19.7791424,1
63773018.62366326,20.1129162,19.7844124,1
63617340.1736415,20.0628552,19.7369862,1
63356891.49307795,20.0997428,19.7330341,1
63499416.109593876,20.047045699999998,19.7093201,1
63528688.85654926,20.090521,19.7686043,1
63527100.60157134,20.1339957,19.7778263,1
63335145.26262655,20.094472699999997,19.7672863,1
63714570.212737255,20.135312199999998,19.8331566,1
63323289.961150326,20.0826155,19.7040501,1
63444159.045150205,20.0694415,19.7264462,1
63733800.575599216,20.1023776,19.7949524,1
64158698.08868923,20.211723199999998,19.8713627,1
64041569.496772364,20.1498043,19.8344746,1
64137756.45712487,20.214356600000002,19.8502827,1
64102255.32860925,20.1827403,19.8318405,1
63995499.80893067,20.327654300000003,19.8911228,1
63854327.697959095,20.2262149,19.8542366,1
64108071.04552348,20.2367541,19.8805847,1
63898305.160323456,20.1577084,19.8160305,1
63948186.66798914,20.2025004,19.8292046,1
63973612.40058724,20.153756700000002,19.8173485,1
64094658.444177,20.244658700000002,19.8674107,1
63666465.8344036,20.1023767,19.7883644,1
63871365.02924932,20.1695652,19.8252525,1
63753770.78983001,20.195913899999997,19.8529186,1
63834186.35311188,20.119504600000003,19.7699223,1
63578066.311439626,20.1181861,19.7672863,1
64028086.50040453,20.1932792,19.8397446,1
64002952.81888402,20.1577092,19.8357925,1
63842753.915261365,20.1959133,19.8160305,1
63865539.1634135,20.2051361,19.8226185,1
63730483.75713535,20.1959144,19.8450146,1
63895935.03323935,20.1972306,19.8423786,1
63426226.38843038,20.0878863,19.7778263,1
63486853.47867111,20.0984248,19.7093201,1
63809063.305767946,20.114234999999997,19.8054924,1
63779842.5289052,20.1260916,19.7830963,1
63459768.781390585,20.1353118,19.7659683,1
63785016.54625839,20.135313,19.8041744,1
64122839.47461355,20.198548199999998,19.8384266,1
64091191.250501424,20.1471686,19.8371086,1
63933173.16204166,20.1168691,19.7817783,1
64122535.13501603,20.1458528,19.8318405,1
63886605.27430957,20.140582,19.8028564,1
63882423.51637188,20.1721994,19.8371086,1
64071250.894668035,20.1616608,19.8120785,1
64166309.95487973,20.1735174,19.8252525,1
63967575.980551384,20.165613699999998,19.8133965,1
64081107.90719511,20.2262133,19.8502827,1
64043055.65123972,20.249927,19.8555527,1
64015817.819618255,20.1866914,19.8292046,1
64166615.81929651,20.1893258,19.8371086,1
63737709.38772927,20.172199900000003,19.7541122,1
64244797.5295336,20.1722009,19.8094444,1
63964374.52808658,20.2393879,19.8160305,1
64143521.50464423,20.2051354,19.8608227,1
64044174.527857475,20.1959135,19.8120785,1
64350713.32641322,20.2064535,19.8713627,1
64124194.28665524,20.1603434,19.8476486,1
64021430.07188132,20.1287255,19.8252525,1
63904736.77034392,20.220945,19.8357925,1
64136429.90716227,20.2143579,19.8489666,1
64341981.88915883,20.327655399999998,19.8581886,1
63938703.522773765,20.132678300000002,19.7910004,1
64013971.26321017,20.1339962,19.8186665,1
63801489.93635043,20.135312600000002,19.7989044,1
63474447.28334348,20.2051355,19.8344746,1
63625632.89455601,20.0905211,19.7290821,1
63589401.51157783,20.081299299999998,19.7290821,1
63429955.19487945,20.094473,19.7369862,1
63819567.1088227,20.127409,19.7962704,1
63793952.730431855,20.069443,19.7567482,1
63849354.77895255,20.1511217,19.8213005,1
63760872.86145001,20.1801051,19.8397446,1
63858890.70395954,20.107647,19.7633343,1
63748729.24905093,20.1537559,19.7844124,1
63480040.51293369,20.107646199999998,19.7172241,1
63817914.24451292,20.1036943,19.7712383,1
63864908.01871611,20.1195045,19.7830963,1
63748696.81340669,20.061538,19.7554302,1
63552126.1487896,20.112916600000002,19.7633343,1
63612663.83779169,20.1880098,19.8226185,1
63473986.74631529,20.0549499,19.7396202,1
63492016.431257226,20.0286032,19.6856079,1
63416995.86653664,20.1260912,19.7910004,1
63562962.62589628,20.0892033,19.7501602,1
63398907.731231526,20.0444119,19.7159081,1
63697248.85688114,20.1339958,19.7514782,1
63726811.45110546,20.0997424,19.7765083,1
63498888.85538814,20.0549501,19.7356682,1
63521440.88468402,20.1142337,19.7448902,1
63560100.48440034,20.06022,19.7317162,1
63375772.84855568,20.1208204,19.7040501,1
63727810.27683291,20.2090871,19.7975864,1
63432041.295938864,20.1116001,19.7475262,1
63753739.06667545,20.1919617,19.8173485,1
63793499.27123427,20.1313612,19.7962704,1
63427031.84719661,20.108965,19.7646523,1
63609184.55188767,20.1274091,19.7699223,1
63959490.27905231,20.2169927,19.8977108,1
63779951.07289991,20.1208215,19.8041744,1
63321545.76704918,20.0509985,19.7238121,1
63378452.00716247,20.0589034,19.7159081,1
63428182.557500646,20.079981699999998,19.7198601,1
63486432.946858525,20.1313604,19.7501602,1
63410448.695897974,20.0839338,19.7593822,1
63790444.802024126,20.144534,19.7844124,1
63607277.33574076,20.0931562,19.7738743,1
63710312.8074969,20.1761532,19.7830963,1
63453422.21312089,20.1221383,19.7672863,1
63433744.19032265,20.177469100000003,19.7527943,1
63656186.25297483,20.1300426,19.7580643,1
63746137.14979502,20.1379467,19.8015385,1
64142087.22982287,20.2499282,19.8318405,1
64224507.8318953,20.2301659,19.8555527,1
64087765.43458797,20.1432172,19.8081264,1
63966631.120456025,20.1484875,19.8094444,1
64186553.59343486,20.203818300000002,19.8305225,1
63934395.86440084,20.2894495,19.926693,1
64280021.338207476,20.189326700000002,19.8568707,1
63832772.99748377,20.124772500000002,19.7791424,1
63744331.38343864,20.0918382,19.7593822,1
63913132.87729646,20.180104,19.8107605,1
64409460.313734554,20.199866,19.8792667,1
64229984.82692191,20.190643799999997,19.8384266,1
64453597.714534014,20.222261900000003,19.8832188,1
64266628.571984395,20.21304,19.8700447,1
64519778.83503166,20.2604666,19.935915,1
64257297.07641864,20.2011833,19.8213005,1
64511748.493136406,20.253880600000002,19.8898067,1
64292640.960690446,20.149804,19.8384266,1
64578345.193141386,20.2275323,19.8674107,1
64833405.21004233,20.2802276,19.926693,1
64642491.905149944,20.2617835,19.8595047,1
64540527.83026294,20.1853736,19.8726788,1
64612995.52602002,20.2486108,19.8805847,1
64629006.41618881,20.195914199999997,19.8581886,1
64454160.47366986,20.1735182,19.8489666,1
64722951.079625115,20.207770800000002,19.8845367,1
64754569.78043107,20.2275309,19.9174709,1
64689699.22733352,20.2222612,19.8950748,1
64510014.25793921,20.1972314,19.8884888,1
64987538.31884214,20.3987948,20.0070553,1
64612036.09980361,20.2512447,19.9227409,1
64755028.67261788,20.3684952,19.9293289,1
64653438.69921302,20.2090875,19.8739967,1
64652431.97168935,20.232802000000003,19.9029808,1
64771115.52632015,20.2328014,19.9148369,1
64554449.70344733,20.340829,19.941185,1
64613708.212657616,20.252562100000002,19.935915,1
64479749.31894499,20.2354353,19.8726788,1
64727707.34351406,20.2183092,19.8911228,1
64718684.7778497,20.3184336,19.942503,1
64590657.32353102,20.280227500000002,19.8911228,1
64375654.80384126,20.2038183,19.8792667,1
