E,vpp,vp,Number of DPs
6100.629599399852,3.89423716,1.81489623,7
5907.435701318972,3.1822911499999997,1.10439885,8
6139.599200140196,3.95376348,1.87573957,7
5948.695420113448,3.3969549,1.31800902,5
5824.537145692413,3.72790575,1.64619422,7
6115.354909926966,3.35849965,1.28113425,4
6231.78826914183,4.15315056,2.07328296,5
6659.6476409622965,4.15315056,2.07209754,6
6124.631337952283,3.96390403,1.88614357,4
6354.430919776131,4.14748764,2.06775165,5
6016.27162597399,3.76557064,1.68767834,7
6216.83732306044,3.91241121,1.83307028,5
6222.534793195848,4.160920620000001,2.0730195,4
6180.30458398345,4.03212249,1.95423019,6
6062.629234557967,3.6997228799999995,1.62183058,6
6056.629987528737,4.06030512,1.98254466,6
5914.870932651902,3.69168937,1.61195338,5
5944.293523912712,3.57790458,1.50001228,8
6187.803925371258,3.94559837,1.86783791,8
6120.777217507566,3.7660974200000004,1.68701994,5
6100.187549641017,3.68800199,1.60760748,11
6066.074452090647,4.0013057,1.9234134,8
6049.970101709255,3.94125247,1.86336017,6
5993.618678009949,4.149594779999999,2.07170248,6
6047.0241518466255,3.91280627,1.83491397,6
6012.301647495909,3.59937095,1.52147865,7
5834.010882204609,3.17807686,1.10018456,7
5937.045587441977,3.32399535,1.24662995,8
5875.380995256669,3.58159196,1.50225103,7
6188.5784250942215,4.1476194799999995,2.06972718,6
5804.79727464171,2.96815419,0.89026189,8
5864.8751723029945,3.8804091300000003,1.7992245,5
6144.0322758470165,3.85235811,1.77314878,8
6024.354898997533,4.03923381,1.96147335,6
5890.730136146775,3.21613681,1.13824451,7
6122.597802952504,3.8370812,1.75932074,6
6199.723426824144,4.1484093699999995,2.07064891,4
5931.992201789053,3.37970268,1.30181038,8
6082.283593931835,3.39708638,1.31932592,6
6197.95338520341,3.54629743,1.46853697,7
6467.718036408612,4.0717628,1.9938705,7
5889.0987291898045,3.3070068299999997,1.22911453,6
6277.049062191374,4.11588073,2.03812027,7
5933.830365110591,3.38971161,1.31181931,6
5988.066639930783,3.72250629,1.64395547,5
6107.916869298745,3.87079525,1.79303479,6
6199.632740100685,3.82957459,1.75181413,6
6163.495375532948,4.149068120000001,2.07104421,6
6178.999600604457,4.08216668,2.00098205,6
6252.243760043278,3.87961888,1.80159497,4
5947.423434283385,3.86078644,1.78302598,5
6371.437893940651,3.84155882,1.76379836,6
6452.611620498718,3.97549343,1.89444041,7
6588.5986632811,4.14498544,2.06722498,6
6069.739395742024,3.66139937,1.58363891,5
6113.2976056889165,3.24431967,1.16642737,6
5961.229205796551,3.51403212,1.43390107,9
6210.929346582779,3.30516291,1.22674394,5
6236.495312215383,4.01513374,1.93118346,11
6071.0802090146735,3.84498298,1.76722252,6
6090.102821829894,3.7338321199999998,1.65462279,6
6056.531539705247,4.14827799,2.07038569,7
6069.162316539922,3.73936319,1.66133928,7
6102.302481740531,4.03041041,1.94962084,8
6174.10717511664,3.6085895299999997,1.53069723,6
6202.655495615415,4.14906811,2.07117581,6
6069.276999788427,3.88146258,1.80370212,8
6125.228125049508,3.36297738,1.28508508,7
6350.860376386152,4.15130686,2.07341456,8
5913.585996947636,3.81772196,1.7399615,5
6119.4727312839705,3.88752079,1.80962849,7
6131.886485833254,3.83945167,1.76169121,7
6434.756881056368,4.14709258,2.06933212,9
5810.089910682482,3.35046613,1.2716521,6
6080.929496465484,4.11377359,2.03601313,6
6355.668500817379,4.14577579,2.06788349,6
6112.037606077765,3.82430673,1.74654627,6
5963.349680628911,3.82035589,1.74259543,8
6059.849860001696,3.8879158499999997,1.80896997,6
6064.402136225851,4.01789927,1.94000697,5
5940.634891878397,3.5513020699999998,1.47340977,7
6225.569146586901,3.49243414,1.41454184,6
6119.025420037892,3.48756123,1.40413785,7
5993.039796727056,3.32307351,1.24465454,6
6243.08191235951,3.42592776,1.3481673,6
5986.306257519021,3.92097139,1.84307909,6
6112.175469104423,3.10419548,1.02643502,11
6033.2157107313005,3.4556911,1.3777988,6
6319.177510740577,3.8598644799999997,1.78210402,6
6254.764428897252,3.80692303,1.72903073,8
6263.928074835462,3.97654689,1.89470375,4
6206.065731741078,3.3828632799999996,1.30339074,5
6133.722674250958,4.1476194799999995,2.06972718,7
6268.155861343543,3.97536158,1.89549398,9
5998.953620956087,3.15582037,1.07792807,8
6116.794864976451,3.66864276,1.58824825,6
6139.06558454261,3.27263415,1.19395173,9
6004.413142691868,3.62992429,1.55203199,8
6038.269593753757,3.64177668,1.56401622,7
6191.8507286507565,4.07953274,1.99979675,9
3133.6861666443156,2.0747112100000002,1.0356437,9
3041.3574688387143,2.07517219,1.03584123,6
3017.956856039745,2.07543552,1.03623629,5
3217.188589787461,2.08070302,1.04137206,8
3108.7756840034176,2.07517219,1.03584123,7
3063.130557967092,2.08017623,1.03775072,5
3214.4861070874717,2.07569886,1.03663135,7
3305.9279832205675,2.08406103,1.03952849,6
3144.4438497800043,2.07760823,1.03689468,7
3036.941192939431,2.07550133,1.03643382,7
3104.2840718377506,2.0791226700000003,1.03643382,7
3174.517189181341,2.07721329,1.03623629,7
3122.4615252347317,2.07576478,1.03643382,7
3123.1127549681487,2.07826674,1.03761899,5
3099.9345033317813,2.0746454,1.03531444,11
3213.0215438586906,2.07635737,1.03643382,6
3140.738823554386,2.07550144,1.03617048,7
3183.1598044810553,2.07675243,1.03643382,7
3381.658774947754,2.07675231,1.03649962,7
3140.149522484684,2.0288187200000003,0.98823678,6
3175.5997852205323,2.07477701,1.03531444,9
3175.6990915521005,2.07813502,1.03827739,7
3065.755787530723,1.87514132,0.83581036,9
2988.4040458267327,1.8394544700000002,0.79972845,6
3018.0051304969206,2.07484293,1.03557789,6
3091.064089578938,2.07576478,1.03643382,6
3170.173383943701,2.08024204,1.03748727,8
3148.7072468363986,2.07576466,1.03630209,6
3045.052362688897,1.82865614,0.78958863,5
3133.0359491126997,2.08004451,1.04045022,6
3399.0474630276294,2.0806371,1.03610456,9
3079.6943952138054,2.0745796,1.03524864,7
3229.2036532666793,2.07681811,1.03531444,7
3320.605626700265,2.0766207,1.03623629,8
3057.2408585985195,1.95777417,0.91771901,8
3133.581852982604,2.07642317,1.03709221,5
3164.1101325309155,2.07642317,1.03584123,5
3115.0790927500857,2.07576478,1.03643382,6
3098.631990362979,2.0763573600000003,1.0369606,8
3101.9131571948787,2.07648909,1.03715813,8
3337.7950402843794,2.07951784,1.03755319,6
3002.1046299621044,2.07583058,1.03649962,6
3203.1615972498885,2.07642305,1.03452432,9
3172.052152789718,2.0813613,1.03985763,7
3095.023571945209,1.82891947,0.78985196,7
3153.5053024534877,2.0755672499999998,1.03584123,7
3149.2019797746225,2.0768841499999997,1.03755319,8
3055.2890717434375,2.07517219,1.03584123,9
3127.583824066951,2.07385528,1.03452432,8
3057.8879308248625,2.07609403,1.03676307,6
3014.7784359364955,1.95922273,0.9200235,5
3238.091826941509,2.07569886,1.03524864,6
3126.165125823845,2.07714748,1.03676307,8
3150.238087584591,2.07543552,1.03610456,8
3122.5078596832604,2.07583058,1.03649962,7
3176.2330370372943,2.07155085,1.03221989,6
3439.572525399506,2.07714737,1.03643382,7
3336.2262717780427,2.0766207000000003,1.03728974,6
3247.121035400753,2.07615983,1.03557789,9
3035.0082313631938,2.0766865,1.03590703,6
3285.712742891378,2.07760835,1.03827739,10
3150.189504660307,2.07576478,1.03663135,8
3160.7480640878302,2.0780692099999998,1.03656554,8
3085.2845884699113,2.0746453999999996,1.03557789,7
3566.5254263509532,2.07701576,1.03663135,4
3176.8187076678114,2.07688403,1.03584123,11
