E,vpp,vp,Number of DPs
49360949.41904375,17.799542300000002,0.2982033,1
48940449.58206139,17.7402583,0.3021556,1
48852088.70429575,17.7336712,0.2823944,1
48946850.50081611,17.6888798,0.2850292,1
49058383.62247532,17.811398800000003,0.3680261,1
49150656.193221025,17.7666081,0.2626332,1
49198364.67557938,17.8179871,0.265268,1
49307456.84560157,17.737624,0.2626332,1
49382241.05248352,17.831159600000003,0.2955685,1
48942211.87927486,17.7073245,0.2744899,1
49290984.1288525,17.831160200000003,0.3298212,1
48975666.4048894,17.6994185,0.2481417,1
49041142.73363475,17.6981019,0.2758073,1
49029247.382818334,17.794272699999997,0.2705377,1
49052739.07433259,17.715227900000002,0.2982033,1
49381521.99330332,17.804811500000003,0.2955685,1
49202324.29721678,17.7428934,0.2995207,1
49507779.96322602,17.790321300000002,0.2823944,1
49333102.040741734,17.7890035,0.2731725,1
49675450.77441453,17.8285253,0.2784421,1
49443744.268532224,17.8482867,0.3021556,1
49374229.03607825,17.7666078,0.2679029,1
49263177.49379158,17.7810995,0.3350908,1
49365414.79782267,17.798224599999998,0.3021556,1
49274383.30033029,17.866731,0.3192819,1
49269436.00448759,17.9444578,0.3627565,1
49365649.563027285,17.7652899,0.2942511,1
49290775.06529796,17.7547508,0.287664,1
49343191.46974064,17.762655300000002,0.2599984,1
49251108.92128742,17.8021778,0.2902988,1
49124521.02162765,17.702054399999998,0.2837118,1
49404337.26568163,17.766606799999998,0.2744899,1
49600979.90961379,17.829843,0.2968859,1
49449045.88257213,17.872,0.3126948,1
49243083.95923238,17.7797807,0.3192819,1
49445101.98501708,17.785051600000003,0.2771247,1
49482443.08916287,17.8193041,0.281077,1
49459403.16538514,17.7863681,0.3074252,1
49370501.901591375,17.7652895,0.2863466,1
49325298.56863133,17.7494806,0.2837118,1
49308782.52131536,17.7507989,0.265268,1
49146796.542618416,17.7376234,0.2863466,1
49057410.01805818,17.7231336,0.303473,1
49276973.9490871,17.7376235,0.2771247,1
49236653.94676674,17.8996652,0.3192819,1
49300007.57905297,17.782417,0.265268,1
49438802.06286373,17.8219381,0.281077,1
49333286.22468193,17.7771461,0.2850292,1
49171166.43999604,17.761336800000002,0.3232341,1
49353027.801697075,17.7837344,0.2665854,1
49155326.031371154,17.7850504,0.3377256,1
49279309.88685227,17.723132699999997,0.2520939,1
48881074.45963503,17.734990399999997,0.2929337,1
49022109.50297159,17.699419,0.2692203,1
49195847.10738955,17.7666079,0.3298212,1
49156154.17711013,17.7890041,0.2850292,1
49014651.12603965,17.7613371,0.3627565,1
48928071.94933595,17.6981019,0.3113774,1
48885161.64511457,17.6704357,0.2850292,1
49052581.85301514,17.6901972,0.2639506,1
49407312.41299133,17.7810986,0.2929337,1
49540489.59986724,17.8140342,0.2718551,1
49265315.614541635,17.7534326,0.2837118,1
49353403.45396764,17.7534332,0.2692203,1
49190848.4812788,17.7547507,0.3232341,1
49097318.3115745,17.7824168,0.2968859,1
49201107.945031114,17.7587024,0.3021556,1
49218710.12433546,17.7481634,0.2995207,1
49142126.94805298,17.723133,0.2692203,1
48974343.30601379,17.6849279,0.2758073,1
48875086.608453035,17.746846299999998,0.3021556,1
49010938.62602522,17.6770227,0.2784421,1
48901054.86878493,17.6809762,0.2705377,1
48860734.86002195,17.6691185,0.287664,1
49006485.804390594,17.7810985,0.3153297,1
49089209.81977859,17.6691191,0.2507765,1
49368193.82683369,17.770559300000002,0.2823944,1
49367556.056844294,17.7481637,0.2679029,1
49157193.99506926,17.7060057,0.281077,1
49023332.12168226,17.707323900000002,0.2982033,1
49010081.14888915,17.7376249,0.3271864,1
49238960.667375304,17.8100823,0.2982033,1
49358275.69961044,17.792956,0.281077,1
49172013.9263558,17.7428945,0.2837118,1
49119679.75467803,17.706006199999997,0.2797596,1
49185370.914965004,17.7903209,0.3364082,1
49110662.30315843,17.7191799,0.2850292,1
49101481.544456385,17.6598969,0.2468243,1
49057726.73001706,17.6954667,0.2784421,1
49032079.15741913,17.7560686,0.2837118,1
49061363.74186561,17.7033718,0.2982033,1
48887247.15839162,17.6967839,0.2982033,1
48977438.97095685,17.717863,0.3047904,1
49353524.98352002,17.783733599999998,0.2995207,1
49485998.69854089,17.7797825,0.2797596,1
49575568.422847725,17.803494099999998,0.281077,1
49622504.510023,17.7916389,0.2744899,1
49573499.27978541,17.875953,0.3416779,1
49367739.56120715,17.8153522,0.2850292,1
49437901.799393505,17.8087654,0.3179645,1
49178701.52077689,17.8021772,0.3271864,1
49259941.08757088,17.823255500000002,0.3667087,1
49448850.85055442,17.935235300000002,0.3680261,1
49456169.72645966,17.8403818,0.3350908,1
49409432.032457784,17.877270499999998,0.3337734,1
49637008.72554172,17.8667305,0.3469475,1
49908124.00193992,17.928648799999998,0.3469475,1
50012104.07828832,17.8733185,0.3113774,1
50153822.88843618,17.9154756,0.3140123,1
49937483.787013166,17.8680482,0.2679029,1
49778697.72137434,17.848287600000003,0.2823944,1
49997425.93679934,17.903619,0.2929337,1
50020058.237399355,17.872000999999997,0.2705377,1
50125886.07168833,17.9049351,0.2797596,1
49994408.625191584,17.8799045,0.2718551,1
50142401.021909796,17.866730999999998,0.2705377,1
50078711.9864552,17.8917605,0.3074252,1
50126346.07555516,17.868049,0.2705377,1
49032495.507548384,17.7310374,0.2771247,1
49672668.545291044,17.7837346,0.2705377,1
49528059.51525684,17.7903202,0.2982033,1
49589364.58949414,17.8943959,0.3574868,1
49552097.51759536,17.8706835,0.3403605,1
49402362.58668118,17.8575096,0.3443127,1
49739218.75118581,17.7916381,0.258681,1
49594716.69264286,17.8232552,0.3008381,1
49530286.7660292,17.7626548,0.2744899,1
49500578.48965891,17.7797809,0.287664,1
49502854.81115692,17.894396399999998,0.3785654,1
49456213.735482804,17.862778499999997,0.3337734,1
49539181.337830685,17.8324784,0.2982033,1
49907842.28146002,17.9510445,0.3746132,1
49557235.97067422,17.79559,0.281077,1
49409548.97826078,17.814034799999998,0.2705377,1
49752941.34113676,17.8785867,0.2758073,1
49430407.72807655,17.8746361,0.325869,1
49794412.998321645,17.8206205,0.2889814,1
49491445.601211265,17.819304300000002,0.2982033,1
49647221.51930146,17.8469695,0.3047904,1
49488289.66326206,17.8087641,0.281077,1
49573894.54513432,17.858826999999998,0.2705377,1
49640916.7551858,17.8206217,0.2995207,1
49544718.283190235,17.844334699999997,0.3021556,1
49404234.3890305,17.828526,0.303473,1
49628312.938468695,17.9629021,0.406231,1
49511996.60699556,17.7784647,0.2968859,1
49337724.64881203,17.804812000000002,0.303473,1
49532570.94394719,17.798224899999997,0.2744899,1
49505760.479178146,17.7297194,0.2507765,1
49517241.51360119,17.928648799999998,0.3601216,1
49789571.39355399,17.846968999999998,0.2837118,1
49601775.32764918,17.789003599999997,0.2995207,1
49526764.34334449,17.987932100000002,0.4022788,1
49491143.3690094,17.7534341,0.2758073,1
49572637.391911946,17.7745127,0.2613158,1
49380593.83131856,17.869364700000002,0.2758073,1
49647541.066535465,17.860142999999997,0.2705377,1
49402353.21158207,17.7758288,0.2968859,1
49429433.20934908,17.782415500000003,0.2731725,1
49555082.923624545,17.8153513,0.2916163,1
49546630.424064875,17.8114001,0.2942511,1
49410471.520986676,17.7573851,0.2916163,1
49853838.44407659,17.849604199999998,0.281077,1
49693623.29047097,17.819303299999998,0.2560461,1
