0,1,2,3,4,5,6,7,8,9,10,11
111492,116725,121746,135704,146166,193545,-1,-1,-1,-1,-1,-1
111498,116813,121892,136221,143324,153219,164111,172408,-1,-1,-1,-1
111492,116772,122190,144664,-1,-1,-1,-1,-1,-1,-1,-1
111490,116635,121708,133631,142416,-1,-1,-1,-1,-1,-1,-1
111475,116788,121937,136806,142180,148073,154524,-1,-1,-1,-1,-1
111487,116854,121923,130420,136419,144166,155995,161252,200132,-1,-1,-1
111493,116775,121943,128320,134354,139759,147199,170066,-1,-1,-1,-1
111502,116839,123648,129754,146803,156388,-1,-1,-1,-1,-1,-1
111498,116717,121868,134394,142310,162517,168548,173823,230118,-1,-1,-1
111486,116744,121822,130420,137034,142251,149738,155342,-1,-1,-1,-1
111502,116740,121742,128973,142547,149448,158606,-1,-1,-1,-1,-1
111487,116856,122076,131838,137058,148625,158449,165349,197717,-1,-1,-1
111488,116812,121949,135861,141889,150978,160844,168823,201533,-1,-1,-1
111462,116784,121845,130212,152176,174103,-1,-1,-1,-1,-1,-1
111500,116787,121869,131950,138650,-1,-1,-1,-1,-1,-1,-1
111501,116740,121813,131770,137005,143627,150067,160649,-1,-1,-1,-1
111473,116791,121817,136684,153779,159718,178215,-1,-1,-1,-1,-1
111452,116470,121520,141019,150517,-1,-1,-1,-1,-1,-1,-1
111502,116792,121834,133199,142736,154046,160742,-1,-1,-1,-1,-1
111470,116794,121952,135133,145402,153861,-1,-1,-1,-1,-1,-1
111508,116832,121913,137608,144314,153250,195999,-1,-1,-1,-1,-1
111503,116851,121880,136680,148804,156538,168219,-1,-1,-1,-1,-1
111488,116780,122097,133505,140044,150166,160248,-1,-1,-1,-1,-1
111506,116812,121884,132782,138475,144007,151913,-1,-1,-1,-1,-1
111473,116824,121826,130819,136010,142542,152245,-1,-1,-1,-1,-1
111513,116848,121878,131681,138312,-1,-1,-1,-1,-1,-1,-1
111464,116548,121568,127249,133603,140964,148406,156994,165818,171086,181249,-1
111448,116786,121789,134474,144600,150705,-1,-1,-1,-1,-1,-1
111508,116796,121983,130435,139233,150124,162592,-1,-1,-1,-1,-1
111493,116807,122001,139170,149967,156824,192528,-1,-1,-1,-1,-1
111522,116771,121775,132798,138352,143792,152566,-1,-1,-1,-1,-1
111481,116748,121758,136296,143678,170189,-1,-1,-1,-1,-1,-1
111488,116811,122020,139150,144844,150826,157707,162808,169779,-1,-1,-1
111498,116803,121944,131164,137051,145111,156424,-1,-1,-1,-1,-1
111485,116778,121781,131006,140240,149369,155184,161270,167141,-1,-1,-1
111497,116649,121674,136713,144929,152748,-1,-1,-1,-1,-1,-1
111482,116818,121823,135572,144563,150815,-1,-1,-1,-1,-1,-1
111496,116627,121658,140243,152253,166661,-1,-1,-1,-1,-1,-1
111513,116828,121967,137703,142987,148383,156089,162472,-1,-1,-1,-1
111455,116814,122206,136719,144557,164572,-1,-1,-1,-1,-1,-1
111487,116806,121982,135918,143892,-1,-1,-1,-1,-1,-1,-1
111504,116806,121812,136148,143359,151903,-1,-1,-1,-1,-1,-1
111969,117279,122348,129720,136807,142933,147983,154373,163803,-1,-1,-1
111454,116768,121779,130204,136088,141750,149878,-1,-1,-1,-1,-1
111470,116614,122122,133195,141699,147963,162887,-1,-1,-1,-1,-1
111498,116725,121820,133542,139899,156344,185699,197813,-1,-1,-1,-1
111478,116677,121859,136371,144403,152158,158916,172237,-1,-1,-1,-1
111509,116691,122147,136077,148706,-1,-1,-1,-1,-1,-1,-1
111480,116652,121678,138360,152680,-1,-1,-1,-1,-1,-1,-1
111492,116648,121710,137510,142646,147968,-1,-1,-1,-1,-1,-1
111500,116681,121713,127516,133980,140298,187030,192395,-1,-1,-1,-1
111501,116707,123210,131253,146382,156727,170835,178630,-1,-1,-1,-1
111455,116649,121722,138366,144337,152146,-1,-1,-1,-1,-1,-1
111489,116651,121696,135827,142372,175804,-1,-1,-1,-1,-1,-1
111478,116692,121855,129652,135173,141460,149144,160942,167983,-1,-1,-1
111507,116632,121767,135787,148840,156877,164406,-1,-1,-1,-1,-1
111466,116658,121667,131228,137880,150614,156399,-1,-1,-1,-1,-1
111477,116730,121918,135557,140913,150856,180971,-1,-1,-1,-1,-1
