0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
110577,111196,111710,112262,113136,113827,114420,114986,266908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110571,111313,111828,112428,113011,113699,114346,115071,115933,233484,234036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110632,111346,112197,113045,113555,114422,115016,115670,117028,701802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110582,111372,112058,112655,113258,113845,114363,115223,134803,138075,139346,528301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110600,111327,112235,112831,113343,113952,114838,115379,115900,119936,1136354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110560,111256,111791,112407,113247,113829,114601,116297,131547,137648,140242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110533,111677,112660,113270,113921,114848,115404,116098,116703,120721,131825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110586,111694,112644,113583,114192,114708,115330,136037,198108,198701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110622,111257,111788,112309,112985,113725,115288,115923,134099,363826,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110593,111216,111718,112270,113217,114566,115160,115856,120186,120778,805555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110586,111217,111774,112755,113321,113836,114401,115140,116893,117478,118430,220153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110591,111336,111849,112431,113083,113605,114360,114950,116307,116893,132894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110568,111413,111915,112676,113215,113737,114313,114922,115617,426235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110604,111219,111761,112347,113183,113779,114298,114816,115579,116102,116754,240030,354675,-1,-1,-1,-1,-1,-1,-1,-1,-1
110631,111320,111840,112476,113040,113563,114082,114645,115235,115790,116485,117046,131624,132821,135950,423184,-1,-1,-1,-1,-1,-1
110610,111452,112274,112827,113420,114745,463010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110599,111255,112145,112669,113187,113997,115182,132406,136259,782017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110596,111330,112069,112693,113287,114846,115827,135598,699901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110594,111309,112046,112714,113629,114175,114696,115612,116224,120526,135041,139689,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110663,111309,112119,113058,113643,114159,115015,115624,116145,116661,118044,138168,157875,1199085,-1,-1,-1,-1,-1,-1,-1,-1
110625,111360,111872,112374,113088,113754,114339,120630,133898,408029,857532,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110557,111266,111792,112434,113336,113946,114464,144951,837237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110590,111257,112077,112595,113506,114094,114964,119004,126241,128565,131470,314814,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110609,111328,111948,112479,113006,113839,114405,114924,115520,116071,122306,150590,153799,-1,-1,-1,-1,-1,-1,-1,-1,-1
110606,111329,111950,112857,113875,114459,114983,115625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110503,111309,111820,112519,113058,113575,114090,114603,117003,117614,118308,133077,146006,149215,225467,-1,-1,-1,-1,-1,-1,-1
110601,111316,112140,112750,113268,113849,114459,115151,116012,161923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110594,111250,112015,112726,113237,113768,114359,115076,135005,137563,138074,144725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110595,111261,112160,112695,113218,114240,114832,115564,116261,157875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
